Game Number,Player 1 Score,Player 2 Score,Player 2 Win
812,39,25,0
813,23,41,1
814,37,27,0
815,31,33,1
816,38,26,0
817,3,52,1
818,50,14,0
819,40,24,0
820,35,29,0
821,30,34,1
822,41,23,0
823,15,49,1
824,45,19,0
825,16,48,1
826,15,49,1
827,27,37,1
828,0,36,1
829,37,27,0
830,40,24,0
831,28,36,1
832,46,18,0
833,24,40,1
834,12,52,1
835,40,24,0
836,24,40,1
837,43,21,0
838,24,40,1
839,30,34,1
840,14,50,1
841,20,44,1
842,22,42,1
843,20,44,1
844,25,39,1
845,37,27,0
846,52,12,0
847,27,37,1
848,18,46,1
849,28,36,1
850,27,37,1
851,26,38,1
852,32,32,0
853,25,39,1
854,34,30,0
855,27,37,1
856,25,39,1
857,39,25,0
858,28,36,1
859,34,30,0
860,46,18,0
861,28,36,1
862,23,41,1
863,36,28,0
864,16,48,1
865,28,36,1
866,12,52,1
867,33,31,0
868,17,47,1
869,34,30,0
870,43,21,0
871,21,43,1
872,0,30,1
873,30,34,1
874,32,32,0
875,8,56,1
876,11,53,1
877,41,23,0
878,39,25,0
879,27,37,1
880,17,47,1
881,50,14,0
882,19,45,1
883,25,39,1
884,27,37,1
885,23,41,1
886,17,47,1
887,17,47,1
888,44,20,0
889,43,21,0
890,20,44,1
891,43,21,0
892,32,32,0
893,16,48,1
894,48,16,0
895,22,42,1
896,29,35,1
897,14,50,1
898,38,26,0
899,24,40,1
900,45,19,0
901,40,24,0
902,40,24,0
903,47,17,0
904,17,47,1
905,31,33,1
906,19,45,1
907,37,27,0
908,27,37,1
909,22,42,1
910,31,33,1
911,43,21,0
912,25,39,1
913,23,41,1
914,27,37,1
915,29,35,1
916,38,26,0
917,11,53,1
918,39,25,0
919,33,31,0
920,25,39,1
921,0,50,1
922,24,40,1
923,43,21,0
924,31,33,1
925,26,38,1
926,23,41,1
927,0,26,1
928,35,29,0
929,29,35,1
930,43,21,0
931,21,43,1
932,25,39,1
933,16,48,1
934,35,29,0
935,17,47,1
936,13,51,1
937,43,21,0
938,32,32,0
939,40,24,0
940,50,14,0
941,29,35,1
942,25,39,1
943,23,41,1
944,55,9,0
945,13,51,1
946,0,26,1
947,16,48,1
948,18,46,1
949,39,25,0
950,17,47,1
951,33,31,0
952,0,20,1
953,25,39,1
954,35,29,0
955,34,30,0
956,40,24,0
957,41,23,0
958,17,47,1
959,26,38,1
960,31,33,1
961,25,39,1
962,13,51,1
963,48,16,0
964,37,27,0
965,0,52,1
966,40,24,0
967,29,35,1
968,16,48,1
969,0,59,1
970,21,43,1
971,31,33,1
972,34,30,0
973,32,32,0
974,19,45,1
975,35,28,0
976,0,34,1
977,48,16,0
978,31,33,1
979,28,36,1
980,45,19,0
981,32,32,0
982,25,39,1
983,26,38,1
984,34,30,0
985,20,43,1
986,38,26,0
987,25,39,1
988,35,29,0
989,0,33,1
990,31,33,1
991,10,54,1
992,48,16,0
993,26,38,1
994,40,24,0
995,18,46,1
996,37,27,0
997,0,26,1
998,49,15,0
999,40,24,0
1000,35,29,0
